도로명코드,도로명,읍면동일련번호,시도명,읍면동구분,ssafy아이디,입력날짜
111102000000,세종대로,0,서울특별시,2,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,세종대로,1,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,세종대로,2,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,삼일대로,0,서울특별시,2,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,삼일대로,1,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,삼일대로,2,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,삼일대로,3,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,삼일대로,4,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,삼일대로,5,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,삼일대로,6,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,필운대로,0,서울특별시,2,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,필운대로,1,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,필운대로,2,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,필운대로,3,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,필운대로,4,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111102000000,필운대로,5,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,통일로,0,서울특별시,2,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,통일로,1,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,통일로,2,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,통일로,3,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,통일로,4,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,통일로,5,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,통일로,6,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,동호로,0,서울특별시,2,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,동호로,1,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,무교로,0,서울특별시,2,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,무교로,1,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,보문로,0,서울특별시,2,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,보문로,1,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,새문안로,0,서울특별시,2,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,새문안로,1,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,새문안로,2,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,새문안로,3,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,새문안로,4,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,새문안로,5,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,세검정로,0,서울특별시,2,ruddms0127@naver.com,"2020-03-16 13:25:46"
111103000000,세검정로,1,서울특별시,1,ruddms0127@naver.com,"2020-03-16 13:25:46"
