연번,시도,시군구,의료기관명,주소,"대표 전화번호",ssafy아이디,입력날짜
1,서울,강남구,강남구보건소,"서울특별시 강남구 선릉로 668 (삼성동)",02-3423-5555,ruddms0127@naver.com,"2020-03-16 13:42:01"
2,서울,강남구,삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",02-3410-2114,ruddms0127@naver.com,"2020-03-16 13:42:01"
3,서울,강남구,연세대학교의과대학강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3114,ruddms0127@naver.com,"2020-03-16 13:42:01"
4,서울,강동구,강동경희대학교의대병원,"서울특별시 강동구 동남로 892 (상일동)",02-440-7000,ruddms0127@naver.com,"2020-03-16 13:42:01"
5,서울,강동구,강동구보건소,"서울특별시 강동구 성내로 45 (성내동)",02-3425-8565,ruddms0127@naver.com,"2020-03-16 13:42:01"
6,서울,강동구,성심의료재단강동성심병원,"서울특별시 강동구 성안로 150 (길동)",02-2224-2358,ruddms0127@naver.com,"2020-03-16 13:42:01"
7,서울,강동구,한국보훈복지의료공단중앙보훈병원,"서울특별시 강동구 진황도로61길 53 (둔촌동)",02-2225-1100,ruddms0127@naver.com,"2020-03-16 13:42:01"
8,서울,강북구,강북구보건소,"서울특별시 강북구 한천로 897 (번동, 강북보건소,번2동주민센터)","02-901-7706
02-901-7704",ruddms0127@naver.com,"2020-03-16 13:42:01"
9,서울,강서구,강서구보건소,"서울특별시 강서구 공항대로 561 (염창동, 강서보건소)",02-2600-5868,ruddms0127@naver.com,"2020-03-16 13:42:01"
10,서울,강서구,이화여자대학교의과대학부속서울병원,"서울특별시 강서구 공항대로 260, 이화여자대학교 제2부속병원 (마곡동)",1522-7000,ruddms0127@naver.com,"2020-03-16 13:42:01"
11,서울,관악구,관악구보건소,"서울특별시 관악구 관악로 145 (봉천동)",02-879-7131,ruddms0127@naver.com,"2020-03-16 13:42:01"
12,서울,관악구,"관악구보건소 신사동 코로나19 건강상담소","서울특별시 관악구 조원로 142",02-879-7241,ruddms0127@naver.com,"2020-03-16 13:42:01"
13,서울,관악구,에이치플러스양지병원,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",02-1877-8875,ruddms0127@naver.com,"2020-03-16 13:42:01"
